read;ins;del;sub
71920;0.0021;0.0033;0.0064
71921;0.0026;0.004;0.0077
71922;0.0075;0.0117;0.0226
71923;0.0021;0.0033;0.0064
71924;0.0034;0.0053;0.0102
71925;0.0011;0.0017;0.0033
71926;0.0019;0.0029;0.0056
71927;0.0006;0.0009;0.0018
71928;0.0035;0.0055;0.0106
71929;0.0034;0.0052;0.0101
71930;0.0032;0.005;0.0096
71931;0.002;0.0031;0.006
71932;0.0442;0.0688;0.1326
71933;0.0025;0.0039;0.0076
71934;0.0022;0.0034;0.0066
71935;0.0009;0.0014;0.0026
71936;0.0019;0.003;0.0057
71937;0.0012;0.0018;0.0035
71938;0.0093;0.0144;0.0278
71939;0.0019;0.003;0.0058
71940;0.0008;0.0012;0.0023
71941;0.0031;0.0048;0.0092
71942;0.0019;0.003;0.0058
71943;0.0017;0.0027;0.0052
71944;0.008;0.0124;0.0239
71945;0.0002;0.0003;0.0006
71946;0.002;0.0032;0.0061
71947;0.0052;0.0081;0.0156
71948;0.0043;0.0067;0.0129
71949;0.0041;0.0065;0.0124
71950;0.0017;0.0026;0.005
71951;0.0021;0.0032;0.0062
71952;0.001;0.0016;0.0031
71953;0.0029;0.0046;0.0088
71954;0.0026;0.004;0.0078
71955;0.0032;0.005;0.0096
71956;0.0034;0.0053;0.0102
71957;0.007;0.0108;0.0209
71958;0.0218;0.0339;0.0653
71959;0.0049;0.0076;0.0146
71960;0.0006;0.001;0.0018
71961;0.0026;0.004;0.0077
71962;0.0006;0.0009;0.0018
71963;0.0031;0.0048;0.0092
71964;0.0013;0.0021;0.004
71965;0.0038;0.006;0.0115
71966;0.003;0.0047;0.0091
71967;0.0009;0.0015;0.0028
71968;0.0014;0.0021;0.0041
71969;0.0046;0.0072;0.0139
71970;0.0034;0.0052;0.0101
71971;0.0074;0.0116;0.0223
71972;0.0041;0.0064;0.0123
71973;0.0003;0.0005;0.001
71974;0.0041;0.0063;0.0122
71975;0.0011;0.0017;0.0032
71976;0.012;0.0187;0.0361
71977;0.0004;0.0007;0.0013
71978;0.0013;0.0021;0.004
71979;0.0046;0.0071;0.0137
71980;0.0028;0.0044;0.0085
71981;0.0025;0.0039;0.0076
71982;0.0068;0.0105;0.0203
71983;0.0021;0.0032;0.0063
71984;0.0011;0.0018;0.0034
71985;0.0009;0.0013;0.0026
71986;0.0019;0.003;0.0058
71987;0.0024;0.0038;0.0073
71988;0.0037;0.0058;0.0112
71989;0.002;0.0031;0.006
71990;0.0025;0.0038;0.0074
71991;0.001;0.0016;0.003
71992;0.0019;0.003;0.0057
71993;0.001;0.0015;0.0029
71994;0.0045;0.0071;0.0136
71995;0.0024;0.0038;0.0073
71996;0.002;0.0032;0.0061
71997;0.005;0.0079;0.0151
71998;0.0031;0.0048;0.0092
71999;0.0018;0.0027;0.0053
72000;0.0054;0.0084;0.0163
72001;0.003;0.0047;0.0091
72002;0.0192;0.0298;0.0575
72003;0.0042;0.0065;0.0125
72004;0.0014;0.0022;0.0042
72005;0.0056;0.0087;0.0167
72006;0.0024;0.0038;0.0073
72007;0.0012;0.0019;0.0037
72008;0.0009;0.0014;0.0027
72009;0.004;0.0062;0.012
72010;0.0013;0.002;0.0039
72011;0.0039;0.006;0.0116
72012;0.0027;0.0043;0.0082
72013;0.0081;0.0126;0.0243
72014;0.0051;0.008;0.0154
72015;0.0053;0.0083;0.016
72016;0.0026;0.004;0.0077
72017;0.0039;0.006;0.0117
72018;0.002;0.0032;0.0061
72019;0.0023;0.0036;0.0069
72020;0.011;0.0171;0.033
72021;0.0025;0.0039;0.0074
72022;0.0054;0.0084;0.0162
72023;0.0029;0.0045;0.0087
72024;0.0035;0.0055;0.0106
72025;0.0079;0.0123;0.0237
72026;0.0034;0.0053;0.0103
72027;0.0026;0.004;0.0077
